"Delete Account","Delete Account"
"Are sure you want to permanently delete your Account? Remember, this action is irreversible.","Are sure you want to permanently delete your Account? Remember, this action is irreversible."
"LINK","LINK"
"Are you sure?","Are you sure?"
"If you are sure, click ","If you are sure, click "
"Server encountered an unexpected error while sending email to the admin.","Server encountered an unexpected error while sending email to the admin."
"To complete Account delete proccess, please click on the link we\'ve just sent on your e-mail.","To complete Account delete proccess, please click on the link we\'ve just sent on your e-mail."
"Your Account has been deleted.","Your Account has been deleted."
"Unsuspected error occured.","Unsuspected error occured."
"Delete My Account","Delete My Account"
